Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
02/01/2015,6309,6309,6309,6309
05/01/2015,6216,6216,6216,6216
06/01/2015,6191,6191,6191,6191
07/01/2015,6170,6170,6170,6170
08/01/2015,6230.5,6230.5,6230.5,6230.5
09/01/2015,6151,6151,6151,6151
12/01/2015,6131,6131,6131,6131
13/01/2015,5915,5915,5915,5915
14/01/2015,5627,5627,5627,5627
15/01/2015,5719,5719,5719,5719
16/01/2015,5660,5660,5660,5660
19/01/2015,5671,5671,5671,5671
20/01/2015,5760.5,5760.5,5760.5,5760.5
21/01/2015,5630.5,5630.5,5630.5,5630.5
22/01/2015,5742,5742,5742,5742
23/01/2015,5581,5581,5581,5581
26/01/2015,5490,5490,5490,5490
27/01/2015,5557,5557,5557,5557
28/01/2015,5485.5,5485.5,5485.5,5485.5
29/01/2015,5390.5,5390.5,5390.5,5390.5
30/01/2015,5505,5505,5505,5505
02/02/2015,5535.5,5535.5,5535.5,5535.5
03/02/2015,5695,5695,5695,5695
04/02/2015,5708,5708,5708,5708
05/02/2015,5595,5595,5595,5595
06/02/2015,5692,5692,5692,5692
09/02/2015,5666,5666,5666,5666
10/02/2015,5591,5591,5591,5591
11/02/2015,5645.5,5645.5,5645.5,5645.5
12/02/2015,5695,5695,5695,5695
13/02/2015,5731,5731,5731,5731
16/02/2015,5712,5712,5712,5712
17/02/2015,5665.5,5665.5,5665.5,5665.5
18/02/2015,5690,5690,5690,5690
19/02/2015,5720,5720,5720,5720
20/02/2015,5707,5707,5707,5707
23/02/2015,5657,5657,5657,5657
24/02/2015,5715,5715,5715,5715
25/02/2015,5805,5805,5805,5805
26/02/2015,5935.5,5935.5,5935.5,5935.5
27/02/2015,5880.5,5880.5,5880.5,5880.5
02/03/2015,5896,5896,5896,5896
03/03/2015,5855,5855,5855,5855
04/03/2015,5882,5882,5882,5882
05/03/2015,5856,5856,5856,5856
06/03/2015,5826.5,5826.5,5826.5,5826.5
09/03/2015,5800,5800,5800,5800
10/03/2015,5783.5,5783.5,5783.5,5783.5
11/03/2015,5786,5786,5786,5786
12/03/2015,5865.5,5865.5,5865.5,5865.5
13/03/2015,5860,5860,5860,5860
16/03/2015,5853,5853,5853,5853
17/03/2015,5765,5765,5765,5765
18/03/2015,5692.5,5692.5,5692.5,5692.5
19/03/2015,5835,5835,5835,5835
20/03/2015,5920,5920,5920,5920
23/03/2015,6093.5,6093.5,6093.5,6093.5
24/03/2015,6128,6128,6128,6128
25/03/2015,6134.5,6134.5,6134.5,6134.5
26/03/2015,6230,6230,6230,6230
27/03/2015,6146,6146,6146,6146
30/03/2015,6110,6110,6110,6110
31/03/2015,6050.5,6050.5,6050.5,6050.5
01/04/2015,6019.5,6019.5,6019.5,6019.5
02/04/2015,6001.5,6001.5,6001.5,6001.5
07/04/2015,6041,6041,6041,6041
08/04/2015,6055,6055,6055,6055
09/04/2015,6050,6050,6050,6050
10/04/2015,6055,6055,6055,6055
13/04/2015,6011.5,6011.5,6011.5,6011.5
14/04/2015,5916.5,5916.5,5916.5,5916.5
15/04/2015,5920.5,5920.5,5920.5,5920.5
16/04/2015,6054,6054,6054,6054
17/04/2015,6081,6081,6081,6081
20/04/2015,6002,6002,6002,6002
21/04/2015,5975,5975,5975,5975
22/04/2015,5927,5927,5927,5927
23/04/2015,5935,5935,5935,5935
24/04/2015,6025.5,6025.5,6025.5,6025.5
27/04/2015,6061,6061,6061,6061
28/04/2015,6090.5,6090.5,6090.5,6090.5
29/04/2015,6103,6103,6103,6103
30/04/2015,6245,6245,6245,6245
01/05/2015,6362,6362,6362,6362
05/05/2015,6410,6410,6410,6410
06/05/2015,6400.5,6400.5,6400.5,6400.5
07/05/2015,6437,6437,6437,6437
08/05/2015,6396.5,6396.5,6396.5,6396.5
11/05/2015,6363,6363,6363,6363
12/05/2015,6448,6448,6448,6448
13/05/2015,6416,6416,6416,6416
14/05/2015,6399,6399,6399,6399
15/05/2015,6356,6356,6356,6356
18/05/2015,6383,6383,6383,6383
19/05/2015,6270,6270,6270,6270
20/05/2015,6208,6208,6208,6208
21/05/2015,6240,6240,6240,6240
22/05/2015,6197.5,6197.5,6197.5,6197.5
26/05/2015,6134.5,6134.5,6134.5,6134.5
27/05/2015,6085,6085,6085,6085
28/05/2015,6117,6117,6117,6117
29/05/2015,6088.5,6088.5,6088.5,6088.5
01/06/2015,5970.5,5970.5,5970.5,5970.5
02/06/2015,5998.5,5998.5,5998.5,5998.5
03/06/2015,5992,5992,5992,5992
04/06/2015,5954,5954,5954,5954
05/06/2015,5924.5,5924.5,5924.5,5924.5
08/06/2015,5915,5915,5915,5915
09/06/2015,5989,5989,5989,5989
10/06/2015,6045.5,6045.5,6045.5,6045.5
11/06/2015,5906,5906,5906,5906
12/06/2015,5888.5,5888.5,5888.5,5888.5
15/06/2015,5760.5,5760.5,5760.5,5760.5
16/06/2015,5752,5752,5752,5752
17/06/2015,5749,5749,5749,5749
18/06/2015,5761,5761,5761,5761
19/06/2015,5663,5663,5663,5663
22/06/2015,5646,5646,5646,5646
23/06/2015,5725,5725,5725,5725
24/06/2015,5765,5765,5765,5765
25/06/2015,5715.5,5715.5,5715.5,5715.5
26/06/2015,5731,5731,5731,5731
29/06/2015,5767,5767,5767,5767
30/06/2015,5721,5721,5721,5721
01/07/2015,5755.5,5755.5,5755.5,5755.5
