Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
02/01/2015,102.45,102.83,101.97,102.4,309987
05/01/2015,102.16,102.88,99.91,100.09,479228
07/01/2015,100.53,105.45,99.67,104.89,966372
08/01/2015,105.35,107.15,105.35,107.11,711805
09/01/2015,107.15,107.15,103.87,104.33,563221
12/01/2015,104.75,106.22,101.79,102.45,659750
13/01/2015,101.97,104.84,101.18,101.97,1442894
14/01/2015,97.745,97.745,93.707,94.881,3939615
15/01/2015,96.009,98.269,93.198,96.102,3171842
16/01/2015,96.102,97.327,94.74,96.997,690058
19/01/2015,97.56,98.589,96.716,97.56,708310
20/01/2015,97.609,99.53,97.046,98.075,705867
21/01/2015,98.502,101.03,97.793,101.03,1017623
22/01/2015,101.03,104.66,100.53,103.39,1521293
23/01/2015,103.43,104.75,100.62,101.75,819443
26/01/2015,98.682,100.7,97.89,99.446,1220204
27/01/2015,99.347,100.33,95.398,96.572,1283640
28/01/2015,97.046,97.939,95.398,96.852,699281
29/01/2015,96.803,99.148,96.102,98.782,755603
30/01/2015,98.356,100.01,98.221,99.019,976557
02/02/2015,99.72,101.22,99.62,100.7,612089
03/02/2015,101.32,105.22,101.32,105.22,1223201
04/02/2015,105.08,106.12,104.18,105.17,953111
05/02/2015,104.33,104.71,101.88,103.77,665522
06/02/2015,104.14,105.55,103.82,105.27,904276
09/02/2015,104.33,106.12,104.09,106.12,639839
10/02/2015,106.02,106.96,104.89,105.35,861362
11/02/2015,105.55,107.11,105.55,107.11,654718
12/02/2015,107.15,107.34,106.12,106.58,865169
13/02/2015,106.68,107.99,106.34,106.91,1093063
16/02/2015,107.62,110.39,107.29,110.25,1309212
17/02/2015,110.05,110.05,107.8,108.56,1197448
18/02/2015,109.5,110.63,109.21,109.92,1156748
19/02/2015,109.97,111.38,108.69,111.38,2372646
20/02/2015,110.91,111.28,110.25,110.72,553257
23/02/2015,110.91,111.61,109.97,110.58,537295
24/02/2015,110.1,113.06,109.07,113.06,1020091
25/02/2015,112.79,113.59,111.47,112.08,621217
26/02/2015,112.32,115.89,112.32,115.32,1297856
27/02/2015,115.09,115.32,113.73,113.73,1059442
02/03/2015,113.73,115.23,113.49,114.24,696424
03/03/2015,113.34,113.39,110.91,111.28,877815
04/03/2015,111.14,111.81,110.15,110.35,697695
05/03/2015,110.39,113.16,110.02,112.79,762326
06/03/2015,112.65,112.93,110.3,111.85,1010651
09/03/2015,110.91,112.22,110.05,110.05,911774
10/03/2015,110.25,110.63,107.66,108.09,1064105
11/03/2015,108.09,109.82,107.29,107.34,753385
12/03/2015,107.99,109.82,107.99,109.59,1225636
13/03/2015,109.68,110.05,106.72,107.15,840219
16/03/2015,108.09,108.51,106.96,107.8,451524
17/03/2015,107.52,108.04,106.49,107.62,602277
18/03/2015,107.62,108.04,107.11,107.99,464164
19/03/2015,108.56,110.25,108.56,110.25,856778
20/03/2015,110.44,113.01,110.25,113.01,1833491
23/03/2015,113.16,114.47,112.45,114.47,505356
24/03/2015,113.54,114.47,112.74,114.38,471172
25/03/2015,114.01,114.06,112.37,112.84,418653
26/03/2015,113.16,114.8,110.49,111.23,715342
27/03/2015,111.38,113.26,110.67,112.79,521389
30/03/2015,113.16,114.57,113.16,114.57,426420
31/03/2015,114.47,114.67,111.93,112.79,588618
01/04/2015,112.32,113.06,111.61,111.98,496721
02/04/2015,112.12,112.79,112.03,112.27,203348
07/04/2015,113.34,113.34,111.89,112.03,652938
08/04/2015,112.6,114.11,111.85,111.93,618441
09/04/2015,111.98,112.41,110.49,111.09,556692
10/04/2015,111.81,112.45,110.53,112.12,569107
13/04/2015,112.12,112.27,110.63,111.56,461462
14/04/2015,110.86,110.86,109.21,110.25,575210
15/04/2015,110.25,112.03,109.73,110.99,634824
16/04/2015,111.38,113.3,111.38,113.3,1110180
17/04/2015,113.21,113.21,111.52,111.52,682580
20/04/2015,111.93,112.37,111.09,111.71,677894
21/04/2015,112.03,112.41,109.5,109.97,678817
